TEAM,Season,W,Perc_3PA,Perc_2PA,Perc_AST,Perc_STL,PFminusPFD,OPP_Perc_3PA,OPP_Perc_2PA,OPP_Perc_AST,OPP_Perc_STL,L1_N_Awards_Won,L1_Coach_RS_W_Perc_Overall,L1_Coach_P_W_Perc,AVG_PLAYER_AGE,Coach,Coach_N_Seasons_Overall,Coach_Perc_Seasons_TEAM
Toronto Raptors,2010,22,0.1615099925980755,0.8384900074019245,0.5709287531806616,0.50920245398773,187,0.21565686862627476,0.7843431313737252,0.5770308123249299,0.5182421227197347,0.0,0.442,,25.41176470588235,Jay Triano,3,1.0
Toronto Raptors,2011,23,0.20857586340706247,0.7914241365929375,0.609347442680776,0.49310344827586206,318,0.23859649122807017,0.7614035087719299,0.5940017905102954,0.4775224775224775,0.0,0.38,,27.176470588235293,Dwane Casey,3,0.3333333333333333
Toronto Raptors,2012,34,0.24906507105459985,0.7509349289454001,0.5924806982208795,0.5089820359281437,186,0.23271215154782074,0.7672878484521792,0.6045102659037361,0.5142348754448398,0.0,0.404,,26.266666666666666,Dwane Casey,4,0.5
Toronto Raptors,2013,48,0.28535278356653765,0.7146472164334623,0.580548128342246,0.4714052287581699,67,0.24007302601551803,0.759926973984482,0.5813324315184308,0.5142364106988784,0.0,0.407,,26.866666666666667,Dwane Casey,5,0.6
Toronto Raptors,2014,49,0.3016547078635232,0.6983452921364768,0.5472972972972973,0.5203045685279187,44,0.2693384411374687,0.7306615588625313,0.6001283697047497,0.5364238410596026,0.0,0.449,0.4285714285714285,26.3125,Dwane Casey,6,0.6666666666666666
Toronto Raptors,2015,56,0.2871494976758135,0.7128505023241866,0.5109780439121756,0.5813528336380256,-191,0.2855020796197267,0.7144979203802734,0.5954530257438984,0.4976700838769804,0.0,0.477,0.2727272727272727,25.9375,Dwane Casey,7,0.7142857142857143
Toronto Raptors,2016,51,0.2885226944203527,0.7114773055796473,0.47243849268140764,0.5641666666666667,42,0.3293633289222173,0.6706366710777827,0.5851900393184797,0.5254562920268973,1.0,0.51,0.4193548387096774,25.6875,Dwane Casey,8,0.75
Toronto Raptors,2017,59,0.3773190124145627,0.6226809875854373,0.5897132722435708,0.532312925170068,150,0.29157759726378796,0.708422402736212,0.56684661797396,0.536986301369863,1.0,0.525,0.4146341463414634,25.625,Dwane Casey,9,0.7777777777777778
Toronto Raptors,2018,58,0.3793292265571526,0.6206707734428474,0.6026011560693642,0.5551020408163265,41,0.3480685527747552,0.6519314472252449,0.6093276801938219,0.5408695652173913,1.0,0.549,0.4117647058823529,27.333333333333332,Nick Nurse,1,1.0
Toronto Raptors,2019,53,0.4206286526615069,0.5793713473384932,0.6268553676216776,0.5247524752475248,93,0.44000629029721655,0.5599937097027835,0.6765894891583977,0.4873477038425492,1.0,0.707,0.6666666666666666,25.944444444444443,Nick Nurse,2,1.0
Toronto Raptors,2020,27,0.44352185492715024,0.5564781450728498,0.6068555438964673,0.5322997416020672,121,0.43302180685358255,0.5669781931464174,0.6664293342826628,0.5010504201680672,1.0,0.721,0.6571428571428571,26.27777777777778,Nick Nurse,3,1.0
Toronto Raptors,2021,48,0.37494992655895315,0.6250500734410469,0.5429171668667467,0.5685670261941448,44,0.4134990605578841,0.5865009394421159,0.6493587738504848,0.5377081292850147,0.0,0.611,0.6571428571428571,24.95,Nick Nurse,4,1.0
Toronto Raptors,2022,41,0.35064761650420617,0.6493523834957938,0.5710541642399534,0.5647403072421361,37,0.3963270142180095,0.6036729857819905,0.6485507246376812,0.5146443514644351,1.0,0.604,0.6097560975609756,26.38888888888889,Nick Nurse,5,1.0
Utah Jazz,1996,64,0.1451093951093951,0.8548906048906049,0.7023315234749281,0.562406015037594,1962,0.2391725921137686,0.7608274078862314,0.5882570162481536,0.5075456711675933,,,,28.833333333333332,Jerry Sloan,12,0.75
Utah Jazz,1997,62,0.10960248650417144,0.8903975134958285,0.691613765452723,0.5600691443388073,1937,0.1755868544600939,0.8244131455399061,0.6022808267997148,0.5123113582208102,2.0,0.616,0.5048543689320388,28.923076923076923,Jerry Sloan,13,0.7692307692307693
Utah Jazz,1998,37,0.10718232044198896,0.8928176795580111,0.7149643705463183,0.5349462365591398,1126,0.1724048666839244,0.8275951333160756,0.5667711598746081,0.5294840294840295,1.0,0.628,0.5284552845528455,29.714285714285715,Jerry Sloan,14,0.7857142857142857
Utah Jazz,1999,55,0.13385579937304076,0.8661442006269593,0.6890614449696151,0.4952755905511811,1780,0.17580128205128207,0.8241987179487179,0.5825242718446602,0.4819672131147541,2.0,0.633,0.5223880597014925,30.583333333333332,Jerry Sloan,15,0.8
Utah Jazz,2000,53,0.1354746382572746,0.8645253617427254,0.7131756756756756,0.5003785011355034,2102,0.19651086240947993,0.8034891375905201,0.5864266966629171,0.5389360061680802,1.0,0.636,0.5138888888888888,30.5,Jerry Sloan,16,0.8125
Utah Jazz,2001,44,0.13209915280828366,0.8679008471917163,0.6967584524224468,0.5463165572574763,1963,0.1954004503055645,0.8045995496944355,0.5707598127475694,0.5528455284552846,1.0,0.636,0.5100671140939598,29.285714285714285,Jerry Sloan,17,0.8235294117647058
Utah Jazz,2002,47,0.10357085151074487,0.8964291484892551,0.7266758811333794,0.5421779141104295,1830,0.1972896312637882,0.8027103687362118,0.5819701926572156,0.5265454545454545,0.0,0.63,0.5032679738562091,30.076923076923077,Jerry Sloan,18,0.8333333333333334
