TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Atlanta Hawks,82,24,58,48.1,17.8,12.0,10.4,41.3,17.9,12.9,13.0,44.4,2017
Dallas Mavericks,82,24,58,48.3,14.7,10.4,10.0,38.8,13.9,11.4,14.3,42.2,2017
Memphis Grizzlies,82,22,60,48.1,17.1,11.7,13.2,42.3,17.3,11.8,14.3,42.1,2017
Phoenix Suns,82,21,61,48.1,15.0,12.9,14.4,46.1,18.6,13.2,14.6,47.1,2017
Golden State Warriors,82,67,15,48.2,19.3,12.6,22.6,46.6,16.7,14.0,14.4,45.4,2016
San Antonio Spurs,82,61,21,48.3,17.3,13.0,12.1,39.6,14.7,12.4,12.6,40.8,2016
Houston Rockets,82,55,27,48.2,18.7,14.3,16.7,46.7,17.5,13.8,14.3,49.0,2016
Boston Celtics,82,53,29,48.2,16.4,11.2,12.4,41.8,15.2,13.9,12.2,43.2,2016
Cleveland Cavaliers,82,51,31,48.5,14.6,11.5,12.9,39.5,16.6,13.7,13.3,44.5,2016
LA Clippers,82,51,31,48.2,15.3,11.3,13.9,39.9,15.2,12.7,14.3,42.7,2016
Toronto Raptors,82,51,31,48.2,17.4,13.5,12.2,43.8,14.9,13.1,11.5,41.7,2016
Utah Jazz,82,51,31,48.2,14.7,11.0,8.1,42.8,15.2,10.7,10.5,41.0,2016
Washington Wizards,82,49,33,48.4,17.7,13.0,15.9,45.0,16.4,13.8,12.1,43.9,2016
Oklahoma City Thunder,82,47,35,48.3,15.6,14.8,16.9,49.9,16.9,12.2,11.1,47.5,2016
Atlanta Hawks,82,43,39,48.5,16.3,13.5,12.1,42.7,17.4,13.2,12.8,39.1,2016
Memphis Grizzlies,82,43,39,48.5,16.1,13.0,10.2,40.5,14.8,11.5,14.6,37.8,2016
Indiana Pacers,82,42,40,48.4,16.6,11.4,10.6,41.9,16.2,12.9,10.6,39.7,2016
Milwaukee Bucks,82,42,40,48.2,17.3,11.1,13.8,48.6,16.2,12.7,11.7,43.7,2016
Chicago Bulls,82,41,41,48.2,15.6,15.1,13.8,43.3,15.5,11.9,13.7,45.2,2016
Miami Heat,82,41,41,48.2,15.9,13.6,11.1,45.1,13.9,12.8,10.3,44.5,2016
Portland Trail Blazers,82,41,41,48.6,14.6,12.6,11.3,42.4,15.7,12.6,12.7,42.9,2016
Denver Nuggets,82,40,42,48.2,14.0,15.1,14.2,49.8,18.0,12.2,14.3,47.4,2016
Detroit Pistons,82,37,45,48.3,14.9,13.7,12.0,43.1,12.7,10.1,10.7,41.2,2016
Charlotte Hornets,82,36,46,48.4,14.9,11.8,9.4,39.9,13.1,11.4,12.9,40.5,2016
New Orleans Pelicans,82,34,48,48.5,14.6,10.8,15.0,44.1,15.6,12.4,13.6,44.1,2016
Dallas Mavericks,82,33,49,48.2,15.7,9.8,7.8,32.8,14.0,11.6,13.6,39.5,2016
Sacramento Kings,82,32,50,48.5,16.3,11.0,10.7,43.0,17.4,12.5,14.7,40.7,2016
Minnesota Timberwolves,82,31,51,48.3,16.7,14.8,12.8,45.7,17.2,13.4,13.9,46.2,2016
New York Knicks,82,31,51,48.4,14.4,14.9,10.9,40.4,16.5,14.7,14.0,46.1,2016
Orlando Magic,82,29,53,48.3,15.0,12.5,14.0,42.2,15.9,13.3,13.0,46.6,2016
Philadelphia 76ers,82,28,54,48.4,17.3,13.3,12.9,44.3,18.5,13.4,15.3,45.1,2016
Los Angeles Lakers,82,26,56,48.1,17.4,13.5,15.2,47.7,18.0,13.3,16.2,47.4,2016
Phoenix Suns,82,24,58,48.4,17.7,14.9,19.4,47.5,18.1,13.5,16.0,44.0,2016
